CamId,Images,Latitude,Longitude,MeanTemp,MeanHumidity,MeanVisibility
65,3252,32.9814865,-111.5297172,-32.80658056580566,33.729662851840395,-42.518142681426816
75,1829,33.2648176,-116.3834183,20.81465281574631,31.16912972085386,-0.5909786768726066
162,3246,41.9797,-88.4061,3.1790203327171906,72.44759556103575,-1.337492298213185
204,2494,41.702494694,-86.2378195222,-8.402285485164395,70.02774427020506,6.319887730553329
260,3225,39.6421,-78.9125,9.237085271317829,67.7766355140187,-16.79996899224806
623,3741,29.272958,-94.85084,-26.478962844159316,78.43629032258065,-102.73031275060144
684,4091,37.2979,-79.9877,14.641212417501833,64.03764360791982,12.812857492055732
858,200,64.856,-147.849,13.453,52.835,15.672500000000003
861,945,36.0579,-112.1255,-251.88941798941798,43.991294885745376,-418.82698412698414
1093,869,42.9675258075,-85.8862860319,17.99493670886076,72.13394919168591,3.233141542002303
3297,1390,49.7522678667,-125.296347435,-875.5719424460432,78.8516179952644,27.92086330935252
3395,1269,47.1297107061,7.21942139932,5.149842271293376,69.89432176656152,
3396,2668,49.7724798,9.9584878,9.58332083958021,75.85082458770614,-55.39908170914543
3837,3197,47.0675219,7.0999358,10.44948389114795,76.86174538629966,-894.6597873368778
3888,1626,42.2480919,3.1227702,15.027675276752767,62.02521525215252,-806.09963099631
4181,1780,32.231328037,-110.946649929,15.000112359550561,35.413153456998316,15.997752808988766
4232,175,33.4489877521,-112.0872656,29.74914285714286,40.16571428571429,15.998857142857144
4584,1807,37.9843530112,23.7326566772,7.617598229109021,56.01994459833795,-4371.40730492529
4679,1090,49.5847611497,9.36662846022,13.897247706422018,70.1348623853211,-18.961743119266053
4795,723,50.9779711,11.0287402,0.5297372060857538,84.91562932226833,-1234.8150969529086
4801,1602,49.1,10.75,5.021223470661673,72.98500936914428,-247.59369538077402
5020,2329,-30.0342535017,-51.2312071242,-84.09364261168385,77.3691304347826,-3535.686303134393
5021,1034,-30.0343080145,-51.2312634505,-80.52325581395348,79.92164544564153,-3610.7242746615084
6798,1800,28.7540844,-17.8861498,20.923119777158774,67.9091922005571,-1651.6786472889883
7211,1511,48.15,11.583,11.170086035737922,76.14559894109861,-3647.5607544672403
7233,1198,47.6789236,11.2008835,-1.5909849749582639,80.56474519632414,-1976.3544293015334
7371,1512,47.367,8.55,10.246031746031745,75.91534391534391,-1678.007697412077
8438,1059,38.9115347345,-97.212305746,13.529367327667611,65.73371104815864,5.625684608120871
8733,1796,47.441685,8.620672,-18.592427616926503,79.46231155778895,-1219.5414389291689
8887,3190,47.167,8.1,-17.857680250783698,80.56617415906948,-1258.7922570532915
8953,787,46.9761862445,8.58539172038,6.082592121982211,77.83608640406608,-1352.589834815756
9112,655,51.1982158268,6.69254670304,10.674809160305344,79.08244274809161,-3031.4258015267174
9291,1253,45.4637,9.18814,17.31604150039904,73.01915403032721,-3114.1732641660014
9483,939,50.1065184167,8.67800682695,14.881789137380192,71.36421725239616,-2732.9255591054316
9708,750,51.833,5.867,13.888,73.96133333333333,-377.7418666666667
9730,1805,-34.5806593772,-58.4284707051,18.249861495844875,65.28658536585365,-3777.9111634349033
10066,1669,46.3833333,11.85,2.426003594967046,67.36189334931096,-2470.181216297184
10870,1505,47.6946284842,9.27217400644,-289.75415282392026,73.07681755829904,-2704.807508305648
10917,3568,47.3645089866,7.15401294173,-0.8063340807174888,78.95876577840112,-3792.1324551569505
11160,1690,46.948,7.44815,9.435502958579882,82.53076923076924,-1850.9500591715978
11331,1170,49.8913166228,10.8876793889,14.023931623931624,72.47606837606837,-3199.5302564102562
17218,1805,44.08473,-66.1834478,7.197063711911357,81.92656950672645,-9999.0
17244,2392,19.1998222193,-96.1388478948,15.877090301003344,78.65564853556485,1.6063127090301004
18590,3491,33.7497447444,-84.3883686381,16.72073904325408,66.45058722429103,14.718647951876253
19106,860,46.82261667,-71.21337891,5.3659302325581395,74.57992998833139,-9999.0
19306,1275,37.20861,-113.02028,16.591686274509804,39.150588235294116,16.032784313725493
19388,1808,57.6333,18.3,-92.18040951853901,81.85075461151482,-3011.658738938053
19834,1328,28.2441768,-82.7192671,24.18192771084337,72.19277108433735,15.342018072289157
21444,305,40.689092,-74.0446835011,23.69573770491803,61.82622950819672,-346.2170491803279
21510,2967,19.4362327,-99.1546369,10.66262217728345,53.83473861720068,13.724266936299292
21511,2755,19.4257019,-99.1937203,17.459165154264973,53.01234567901235,13.693756805807624
22788,1447,59.4336585999,10.6530799866,3.240497581202488,77.50484094052558,-3374.390456431535
24325,1931,38.4578519,-109.8200927,-23.40611082340756,47.3445945945946,-20.608907301916105
