date,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km
2026-05-27,6,1.0876028818585206,1.21500243830366,,0.928037578179282,-1.0876028818585206,1.0876028818585206,,1.0876028818585206,0.6666666666666666,1.0
2026-05-28,4,0.207378647568603,0.3298096214611832,,0.0909033307035453,-0.1836795789054526,0.207378647568603,,0.207378647568603,1.0,1.0
2026-05-29,5,0.5785363165411063,0.7189427689890672,,0.6539077138760963,-0.5785363165411063,0.5785363165411063,,0.5785363165411063,0.8,1.0
2026-06-01,4,0.9917621354557516,1.0245694934402134,,0.9082443834586548,-0.9917621354557516,0.9917621354557516,,0.9917621354557516,0.75,1.0
2026-06-02,5,1.0263234312717997,1.1165779673857985,,1.2632263537406416,-1.0263234312717997,1.0263234312717997,,1.0263234312717997,0.4,1.0
2026-06-03,4,0.8720144530246492,0.8997769310250175,,0.8626426869483126,-0.8720144530246492,0.8720144530246492,,0.8720144530246492,0.75,1.0
2026-06-04,4,0.4270342778380374,0.7016751317376622,-1.6258559493283498,0.1076018965525733,-0.319432381285464,0.7484799607283531,0.1055885949477216,1.3913713265089849,0.75,1.0
2026-06-05,4,1.7215618360528937,2.3055987572198258,-0.1340342675826356,1.1700078114373618,0.4118634337516336,2.569991403904947,4.266850539609054,0.8731322682008399,0.5,0.75
2026-06-09,4,0.3972510354969798,0.4528678538100298,,0.3923977022239207,-0.3972510354969798,0.3972510354969798,,0.3972510354969798,1.0,1.0
2026-06-10,4,2.006429401730805,2.5725389608777416,0.0195619695949734,1.220466139979944,0.3833593983072143,2.930812134512549,4.779577600076038,1.0820466689490604,0.25,0.75
2026-06-11,4,1.633295017183174,1.6521856045857166,,1.6032418466505245,-1.633295017183174,1.633295017183174,,1.633295017183174,0.0,1.0
2026-06-12,4,1.97711964783422,2.3181788347186068,-0.1464433300772945,1.465777782774503,0.0424551080572386,2.664462935817119,4.039149511782917,1.2897763598513208,0.25,0.75
2026-06-13,14,0.7886960198309343,0.8530262410203231,,0.8765956693851624,-0.7886960198309343,0.7886960198309343,,0.7886960198309343,0.6428571428571429,1.0
2026-06-15,4,0.5377758053807824,0.6261249786225422,,0.5136213316495972,-0.5377758053807824,0.5377758053807824,,0.5377758053807824,0.75,1.0
2026-06-16,4,1.7478389254278328,2.2246328193818394,-0.0557847852951023,1.2420356357143918,0.2836698921177571,2.519565161982282,4.06301763509118,0.9761126888733838,0.25,0.75
2026-06-17,4,1.4319539603026787,2.0500681605494644,0.1034070479149517,0.8240062023250392,0.6079477579776396,2.2609639529936394,3.918983938375561,0.602943967611718,0.5,0.75
2026-06-18,4,3.042662780928952,3.629597275774879,-1.107836221489988,3.121547829226444,1.9581838498430213,3.042662780928952,5.000846630771973,1.0844789310859309,0.25,0.5
2026-06-19,4,1.5815903476131885,2.6297624958163826,-0.4753388340058473,0.4982199708310499,1.0226456529418506,2.790550898778818,5.208472001110078,0.3726297964475584,0.75,0.75
2026-06-22,13,0.168308472491944,0.2174424656161569,,0.1132563502090384,0.1105017895466896,0.168308472491944,,0.168308472491944,1.0,1.0
2026-06-24,15,0.2561180756623447,0.338811130092626,,0.1923571315616445,-0.1834103617069581,0.2561180756623447,,0.2561180756623447,1.0,1.0
2026-06-25,4,1.842202771226602,1.8874196555866103,,1.9557659832253889,1.842202771226602,1.842202771226602,,1.842202771226602,0.0,0.75
2026-06-26,6,0.4683283661393235,0.531294021805824,-0.2702300192297331,0.5155937973760718,0.3662986282984117,0.3895074262948346,0.6259702458283014,0.1530446067613677,1.0,1.0
2026-06-29,3,5.1914834851657705,5.192789733279303,,5.133114971368944,5.1914834851657705,5.1914834851657705,,5.1914834851657705,0.0,0.0
